,category,id,price
391,Кровля,С-000111528,492.34
392,Кровля,С-000111529,482.22
393,Кровля,С-000111530,492.34
394,Кровля,С-000111531,492.34
395,Кровля,С-000111532,492.34
396,Кровля,С-000111533,601.88
397,Кровля,С-000111518,736.99
398,Кровля,С-000111519,729.21
399,Кровля,С-000111520,729.21
400,Кровля,С-000111521,729.21
401,Кровля,С-000120979,4635.0
402,Кровля,С-000120980,4635.0
403,Кровля,С-000120981,4635.0
404,Кровля,С-000120982,4635.0
405,Кровля,С-000120983,4635.0
406,Кровля,С-000120984,4944.0
407,Кровля,С-000120985,4635.0
408,Кровля,С-000111578,1928.98
409,Кровля,С-000111579,1928.98
410,Кровля,С-000111580,1928.98
411,Кровля,С-000111581,1928.98
412,Кровля,С-000111540,1335.45
413,Кровля,С-000111541,1335.45
414,Кровля,С-000111542,1335.45
415,Кровля,С-000111543,1335.45
416,Кровля,С-000111544,680.0
417,Кровля,С-000111545,680.0
418,Кровля,С-000111546,745.2
419,Кровля,С-000111547,680.0
420,Кровля,С-000111548,680.0
421,Кровля,С-000111549,680.0
422,Кровля,С-000111550,680.0
423,Кровля,С-000111551,680.0
424,Кровля,С-000172590,1360.0
425,Кровля,С-000111552,514.11
426,Кровля,С-000111553,470.34
427,Кровля,С-000111554,470.34
428,Кровля,С-000111555,470.34
429,Кровля,С-000111556,470.34
430,Кровля,С-000111557,470.34
431,Кровля,С-000111558,470.34
432,Кровля,С-000172591,1419.6
433,Кровля,С-000172592,1222.9
434,Кровля,С-000111582,355.8
435,Кровля,С-000111583,355.8
436,Кровля,С-000111584,291.0
437,Кровля,С-000172593,582.0
438,Кровля,С-000111593,478.2
439,Кровля,С-000172834,1434.6
440,Кровля,С-000172835,1434.6
441,Кровля,С-000172836,1721.0
442,Кровля,С-000172837,1721.0
443,Кровля,С-000172838,1721.0
444,Кровля,С-000172839,1721.0
445,Кровля,С-000172840,1721.0
446,Кровля,С-000172841,1721.0
447,Кровля,С-000172842,1721.0
448,Кровля,С-000172843,1721.0
449,Кровля,С-000172730,448.4
450,Кровля,С-000172731,448.4
451,Кровля,С-000172732,406.63
452,Кровля,С-000172733,397.8
453,Кровля,С-000172734,448.4
454,Кровля,С-000172735,406.63
455,Кровля,С-000172736,406.63
456,Кровля,С-000172737,406.63
